epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1177.52,0.64282,0.73494,1.03214,0.83486,0.41176,0.49324,0.36793,1.40748,1.86684,1.61813,0.000515,0.000515,0.000515
77,1190.05,0.62071,0.68429,0.95981,0.83486,0.41176,0.49324,0.36793,1.40748,1.86684,1.61813,0.0004952,0.0004952,0.0004952
78,1202.71,0.66941,0.72425,0.9792,0.77739,0.41176,0.48558,0.35781,1.48639,1.9468,1.73398,0.0004754,0.0004754,0.0004754
79,1215.84,0.71593,0.70084,0.97719,0.80395,0.41176,0.4754,0.31919,1.5738,2.23287,1.86195,0.0004556,0.0004556,0.0004556
80,1228.93,0.68951,0.74384,1.00018,0.75188,0.41176,0.46287,0.25355,1.8441,2.43001,1.99371,0.0004358,0.0004358,0.0004358
81,1242.21,0.64251,0.7085,0.97192,0.75188,0.41176,0.46287,0.25355,1.8441,2.43001,1.99371,0.000416,0.000416,0.000416
82,1255.15,0.6122,0.72357,0.9963,0.54866,0.47059,0.44638,0.23921,1.98293,2.40159,2.05952,0.0003962,0.0003962,0.0003962
83,1268.27,0.59609,0.69211,0.95436,0.48011,0.47059,0.427,0.23649,1.9934,2.29762,2.04657,0.0003764,0.0003764,0.0003764
84,1281.44,0.73606,0.74288,1.02166,0.45008,0.47059,0.42899,0.24081,1.91272,2.26446,1.98753,0.0003566,0.0003566,0.0003566
85,1293.9,0.61923,0.68584,0.96523,0.45008,0.47059,0.42899,0.24081,1.91272,2.26446,1.98753,0.0003368,0.0003368,0.0003368
86,1307.43,0.58238,0.65907,0.9487,0.62823,0.41176,0.45913,0.25306,1.84488,2.25843,1.97328,0.000317,0.000317,0.000317
87,1320.79,0.55429,0.64281,0.94633,0.60588,0.41176,0.44342,0.25529,1.82862,2.26738,1.98492,0.0002972,0.0002972,0.0002972
88,1333.39,0.61464,0.66498,0.92864,0.71424,0.29412,0.39641,0.26058,1.7882,2.31997,1.99648,0.0002774,0.0002774,0.0002774
89,1346.33,0.62988,0.64281,0.95207,0.71424,0.29412,0.39641,0.26058,1.7882,2.31997,1.99648,0.0002576,0.0002576,0.0002576
90,1359.23,0.57604,0.67206,0.92199,0.52485,0.35294,0.36367,0.24518,1.78815,2.36345,1.98442,0.0002378,0.0002378,0.0002378
